rank,名字,评价人数,类别
1,肖申克的救赎,2263093人评价,1994/美国/犯罪 剧情
2,霸王别姬,1680124人评价,1993/中国大陆 中国香港/剧情 爱情 同性
3,阿甘正传,1703852人评价,1994/美国/剧情 爱情
4,这个杀手不太冷,1887377人评价,1994/法国 美国/剧情 动作 犯罪
5,泰坦尼克号,1663058人评价,1997/美国/剧情 爱情 灾难
6,美丽人生,1052994人评价,1997/意大利/剧情 喜剧 爱情 战争
7,千与千寻,1781344人评价,2001/日本/剧情 动画 奇幻
8,辛德勒的名单,869834人评价,1993/美国/剧情 历史 战争
9,盗梦空间,1653389人评价,2010/美国 英国/剧情 科幻 悬疑 冒险
10,忠犬八公的故事,1131873人评价,2009/美国 英国/剧情
11,星际穿越,1325332人评价,2014/美国 英国 加拿大/剧情 科幻 冒险
12,海上钢琴师,1345506人评价,1998/意大利/剧情 音乐
13,楚门的世界,1238152人评价,1998/美国/剧情 科幻
14,三傻大闹宝莱坞,1506894人评价,2009/印度/剧情 喜剧 爱情 歌舞
15,机器人总动员,1063479人评价,2008/美国/科幻 动画 冒险
16,放牛班的春天,1045302人评价,2004/法国 瑞士 德国/剧情 音乐
17,大话西游之大圣娶亲,1211320人评价,1995/中国香港 中国大陆/喜剧 爱情 奇幻 古装
18,疯狂动物城,1464936人评价,2016/美国/喜剧 动画 冒险
19,无间道,1001842人评价,2002/中国香港/剧情 犯罪 悬疑
20,熔炉,740033人评价,2011/韩国/剧情
21,教父,739920人评价,1972/美国/剧情 犯罪
22,当幸福来敲门,1212433人评价,2006/美国/剧情 传记 家庭
23,龙猫,1010312人评价,1988/日本/动画 奇幻 冒险
24,怦然心动,1423305人评价,2010/美国/剧情 喜剧 爱情
25,控方证人,342682人评价,1957/美国/剧情 犯罪 悬疑
26,触不可及,786422人评价,2011/法国/剧情 喜剧
27,蝙蝠侠：黑暗骑士,823482人评价,2008/美国 英国/剧情 动作 科幻 犯罪 惊悚
28,末代皇帝,620566人评价,1987/英国 意大利 中国大陆 法国/剧情 传记 历史
29,活着,640327人评价,1994/中国大陆 中国香港/剧情 历史 家庭
30,寻梦环游记,1241590人评价,2017/美国/喜剧 动画 奇幻 音乐
31,乱世佳人,543489人评价,1939/美国/剧情 历史 爱情 战争
32,何以为家,783549人评价,2018/黎巴嫩 法国 美国/剧情
33,指环王3：王者无敌,598627人评价,2003/美国 新西兰/剧情 动作 奇幻 冒险
34,飞屋环游记,1057630人评价,2009/美国/剧情 喜剧 动画 冒险
35,摔跤吧！爸爸,1245466人评价,2016/印度/剧情 传记 运动 家庭
36,哈利·波特与魔法石,829050人评价,2001/美国 英国/奇幻 冒险
37,素媛,515251人评价,2013/韩国/剧情
38,少年派的奇幻漂流,1112363人评价,2012/美国 中国台湾 英国 加拿大/剧情 奇幻 冒险
39,十二怒汉,363616人评价,1957/美国/剧情
40,哈尔的移动城堡,782402人评价,2004/日本/动画 奇幻 冒险
41,鬼子来了,487448人评价,2000/中国大陆/剧情 喜剧
42,天空之城,665334人评价,1986/日本/动画 奇幻 冒险
43,大话西游之月光宝盒,964409人评价,1995/中国香港 中国大陆/喜剧 爱情 奇幻 古装
44,我不是药神,1656886人评价,2018/中国大陆/剧情 喜剧
45,闻香识女人,673604人评价,1992/美国/剧情
46,罗马假日,768826人评价,1953/美国/喜剧 剧情 爱情
47,天堂电影院,508955人评价,1988/意大利 法国/剧情 爱情
48,辩护人,482317人评价,2013/韩国/剧情
49,猫鼠游戏,682661人评价,2002/美国 加拿大/传记 犯罪 剧情
50,大闹天宫,321275人评价,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆)/中国大陆/动画 奇幻
51,搏击俱乐部,681694人评价,1999/美国 德国 意大利/剧情 动作 悬疑 惊悚
52,教父2,414113人评价,1974/美国/剧情 犯罪
53,狮子王,648676人评价,1994/美国/动画 冒险 歌舞
54,指环王2：双塔奇兵,546533人评价,2002/美国 新西兰/剧情 动作 奇幻 冒险
55,死亡诗社,547359人评价,1989/美国/剧情
56,钢琴家,428121人评价,2002/英国 法国 波兰 德国 美国/剧情 传记 战争 音乐
57,黑客帝国,627640人评价,1999/美国 澳大利亚/动作 科幻
58,指环王1：魔戒再现,613237人评价,2001/新西兰 美国/剧情 动作 奇幻 冒险
59,饮食男女,459076人评价,1994/中国台湾 美国/剧情 家庭
60,窃听风暴,445280人评价,2006/德国/剧情 悬疑
61,美丽心灵,597946人评价,2001/美国/传记 剧情
62,让子弹飞,1273404人评价,2010/中国大陆 中国香港/剧情 喜剧 动作 西部
63,绿皮书,1221088人评价,2018/美国 中国大陆/剧情 喜剧 传记
64,两杆大烟枪,479445人评价,1998/英国/剧情 喜剧 犯罪
65,本杰明·巴顿奇事,776982人评价,2008/美国/剧情 爱情 奇幻
66,海蒂和爷爷,343016人评价,2015/德国 瑞士 南非/剧情 冒险 家庭
67,飞越疯人院,460985人评价,1975/美国/剧情
68,看不见的客人,943713人评价,2016/西班牙/剧情 犯罪 悬疑 惊悚
69,西西里的美丽传说,769810人评价,2000/意大利 美国/剧情 战争 情色
70,拯救大兵瑞恩,509245人评价,1998/美国/剧情 战争
71,穿条纹睡衣的男孩,399986人评价,2008/英国 美国/剧情 战争
72,小鞋子,318731人评价,1997/伊朗/剧情 儿童 家庭
73,音乐之声,470733人评价,1965/美国/剧情 传记 爱情 歌舞
74,情书,711428人评价,1995/日本/剧情 爱情
75,海豚湾,302813人评价,2009/美国/纪录片
76,美国往事,328478人评价,1984/美国 意大利/犯罪 剧情
77,致命魔术,678028人评价,2006/英国 美国/剧情 悬疑 惊悚
78,沉默的羔羊,670170人评价,1991/美国/剧情 犯罪 惊悚
79,低俗小说,654862人评价,1994/美国/剧情 喜剧 犯罪
80,禁闭岛,743876人评价,2010/美国/剧情 悬疑 惊悚
81,蝴蝶效应,734603人评价,2004/美国 加拿大/剧情 悬疑 科幻 惊悚
82,七宗罪,765872人评价,1995/美国/剧情 犯罪 悬疑 惊悚
83,心灵捕手,552774人评价,1997/美国/剧情
84,布达佩斯大饭店,698772人评价,2014/美国 德国 英国/剧情 喜剧 冒险
85,春光乍泄,492782人评价,1997/中国香港 日本 韩国/剧情 爱情 同性
86,摩登时代,225680人评价,1936/美国/剧情 喜剧 爱情
87,被嫌弃的松子的一生,582594人评价,2006/日本/剧情 歌舞
88,哈利·波特与死亡圣器(下),609054人评价,2011/美国 英国/奇幻 冒险
89,阿凡达,1034038人评价,2009/美国 英国/动作 科幻 冒险
90,喜剧之王,750382人评价,1999/中国香港/喜剧 剧情 爱情
91,致命ID,628003人评价,2003/美国/剧情 悬疑 惊悚
92,剪刀手爱德华,870233人评价,1990/美国/剧情 奇幻 爱情
93,勇敢的心,476884人评价,1995/美国/动作 传记 剧情 历史 战争
94,加勒比海盗,691213人评价,2003/美国/动作 冒险 奇幻
95,杀人回忆,531050人评价,2003/韩国/剧情 动作 犯罪 悬疑 惊悚
96,狩猎,291361人评价,2012/丹麦 瑞典/剧情
97,请以你的名字呼唤我,524129人评价,2017/意大利 法国 巴西 美国 荷兰 德国/剧情 爱情 同性
98,天使爱美丽,825242人评价,2001/法国 德国/喜剧 爱情
99,断背山,579427人评价,2005/美国 加拿大/剧情 爱情 同性 家庭
100,红辣椒,329154人评价,2006/日本/动画 悬疑 科幻 惊悚
101,7号房的礼物,424132人评价,2013/韩国/剧情 喜剧 家庭
102,幽灵公主,427668人评价,1997/日本/动画 奇幻 冒险
103,小森林 夏秋篇,333553人评价,2014/日本/剧情
104,阳光灿烂的日子,492342人评价,1994/中国大陆 中国香港/剧情 爱情
105,第六感,432561人评价,1999/美国/剧情 悬疑 惊悚
106,重庆森林,625722人评价,1994/中国香港/剧情 爱情
107,入殓师,471789人评价,2008/日本/剧情
108,唐伯虎点秋香,821619人评价,1993/中国香港/喜剧 爱情 古装
109,小森林 冬春篇,298879人评价,2015/日本/剧情
110,爱在黎明破晓前,483003人评价,1995/美国 奥地利 瑞士/剧情 爱情
111,超脱,379132人评价,2011/美国/剧情
112,消失的爱人,708518人评价,2014/美国/剧情 犯罪 悬疑 惊悚
113,一一,280280人评价,2000/中国台湾 日本/剧情 爱情 家庭
114,菊次郎的夏天,445007人评价,1999/日本/剧情 喜剧
115,蝙蝠侠：黑暗骑士崛起,565664人评价,2012/美国 英国/剧情 动作 科幻 犯罪 惊悚
116,侧耳倾听,363788人评价,1995/日本/剧情 爱情 动画
117,倩女幽魂,576945人评价,1987/中国香港/爱情 奇幻 武侠 古装
118,功夫,785328人评价,2004/中国大陆 中国香港/动作 喜剧 犯罪 奇幻
119,超能陆战队,790837人评价,2014/美国/喜剧 动作 科幻 动画 冒险
120,无人知晓,225447人评价,2004/日本/剧情
121,人生果实,123980人评价,2017/日本/纪录片
122,萤火之森,402199人评价,2011/日本/剧情 爱情 动画 奇幻
123,甜蜜蜜,409989人评价,1996/中国香港/剧情 爱情
124,借东西的小人阿莉埃蒂,430629人评价,2010/日本/动画 奇幻 冒险
125,玛丽和马克思,356394人评价,2009/澳大利亚/剧情 喜剧 动画
126,爱在日落黄昏时,404367人评价,2004/美国 法国/剧情 爱情
127,驯龙高手,604445人评价,2010/美国/动画 奇幻 冒险
128,完美的世界,215077人评价,1993/美国/剧情 犯罪
129,幸福终点站,430458人评价,2004/美国/喜剧 剧情 爱情
130,告白,569295人评价,2010/日本/剧情 悬疑
131,大鱼,457779人评价,2003/美国/剧情 家庭 奇幻 冒险
132,阳光姐妹淘,492243人评价,2011/韩国/剧情 喜剧
133,射雕英雄传之东成西就,513109人评价,1993/中国香港/喜剧 奇幻 武侠 古装
134,哈利·波特与阿兹卡班的囚徒,478654人评价,2004/英国 美国/奇幻 冒险
135,恐怖直播,509226人评价,2013/韩国/剧情 犯罪 悬疑
136,天书奇谭,178170人评价,1983(中国大陆)/中国大陆/动画 奇幻
137,怪兽电力公司,515961人评价,2001/美国/儿童 喜剧 动画 奇幻 冒险
138,神偷奶爸,770745人评价,2010/美国 法国/喜剧 动画 冒险
139,玩具总动员3,398741人评价,2010/美国/喜剧 动画 奇幻 冒险
140,傲慢与偏见,611941人评价,2005/法国 英国 美国/剧情 爱情
141,时空恋旅人,452832人评价,2013/英国/喜剧 爱情 奇幻
142,哈利·波特与密室,501681人评价,2002/美国 英国 德国/奇幻 冒险
143,教父3,276231人评价,1990/美国/剧情 犯罪
144,釜山行,918344人评价,2016/韩国/动作 惊悚 灾难
145,血战钢锯岭,634694人评价,2016/澳大利亚 美国/剧情 传记 历史 战争
146,哪吒闹海,197296人评价,1979/中国大陆/冒险 动画 奇幻
147,被解救的姜戈,476398人评价,2012/美国/剧情 动作 西部 冒险
148,七武士,150113人评价,1954/日本/动作 冒险 剧情
149,喜宴,267417人评价,1993/中国台湾 美国/剧情 喜剧 爱情 同性 家庭
150,电锯惊魂,404751人评价,2004/美国/悬疑 惊悚 恐怖
151,风之谷,299208人评价,1984/日本/动画 奇幻 冒险
152,一个叫欧维的男人决定去死,319343人评价,2015/瑞典/剧情
153,我是山姆,245625人评价,2001/美国/剧情 家庭
154,头号玩家,1103632人评价,2018/美国/动作 科幻 冒险
155,英雄本色,405357人评价,1986/中国香港/剧情 动作 犯罪
156,上帝之城,245997人评价,2002/巴西 法国/犯罪 剧情
157,谍影重重3,338692人评价,2007/美国 德国/动作 悬疑 惊悚
158,疯狂原始人,686151人评价,2013/美国/喜剧 动画 冒险
159,未麻的部屋,222011人评价,1997/日本/动画 奇幻 惊悚
160,岁月神偷,489518人评价,2010/中国香港 中国大陆/剧情 家庭
161,卢旺达饭店,241816人评价,2004/英国 南非 意大利/剧情 传记 历史 战争
162,纵横四海,323648人评价,1991/中国香港/剧情 喜剧 动作 犯罪
163,三块广告牌,657595人评价,2017/美国 英国/剧情 犯罪
164,达拉斯买家俱乐部,355606人评价,2013/美国/剧情 传记 同性
165,花样年华,455163人评价,2000/中国香港/剧情 爱情
166,心迷宫,390449人评价,2014/中国大陆/剧情 犯罪 悬疑
167,记忆碎片,490167人评价,2000/美国/犯罪 剧情 悬疑 惊悚
168,模仿游戏,482578人评价,2014/英国 美国/剧情 传记 战争 同性
169,黑客帝国3：矩阵革命,336670人评价,2003/美国 澳大利亚/动作 科幻
170,新世界,279536人评价,2013/韩国/剧情 犯罪
171,头脑特工队,466792人评价,2015/美国/喜剧 动画 冒险
172,荒蛮故事,336290人评价,2014/阿根廷 西班牙/剧情 喜剧 犯罪
173,你的名字。,1091176人评价,2016/日本/剧情 爱情 动画
174,真爱至上,580265人评价,2003/英国 美国 法国/喜剧 剧情 爱情
175,忠犬八公物语,148755人评价,1987/日本/剧情
176,爆裂鼓手,444674人评价,2014/美国/剧情 音乐
177,贫民窟的百万富翁,609136人评价,2008/英国/剧情 爱情
178,萤火虫之墓,343111人评价,1988/日本/动画 剧情 战争
179,东邪西毒,471797人评价,1994/中国香港 中国台湾/剧情 动作 爱情 武侠 古装
180,海街日记,322992人评价,2015/日本/剧情 家庭
181,黑天鹅,671759人评价,2010/美国/剧情 惊悚
182,惊魂记,195297人评价,1960/美国/悬疑 惊悚 恐怖
183,无敌破坏王,420791人评价,2012/美国/喜剧 动画 奇幻 冒险
184,你看起来好像很好吃,269246人评价,2010/日本/剧情 动画 儿童
185,冰川时代,498039人评价,2002/美国/喜剧 动画 冒险
186,雨人,330949人评价,1988/美国/剧情
187,小偷家族,654404人评价,2018/日本/剧情 犯罪 家庭
188,绿里奇迹,232918人评价,1999/美国/犯罪 剧情 奇幻 悬疑
189,恋恋笔记本,522024人评价,2004/美国/剧情 爱情
190,爱在午夜降临前,271174人评价,2013/美国 希腊/剧情 爱情
191,疯狂的石头,636232人评价,2006/中国大陆 中国香港/喜剧 犯罪
192,哈利·波特与火焰杯,431392人评价,2005/英国 美国/悬疑 奇幻 冒险
193,寄生虫,1079748人评价,2019/韩国/剧情 喜剧
194,恐怖游轮,628417人评价,2009/英国 澳大利亚/剧情 悬疑 惊悚
195,奇迹男孩,455181人评价,2017/美国 中国香港/剧情 儿童 家庭
196,雨中曲,163828人评价,1952/美国/喜剧 歌舞 爱情
197,魔女宅急便,365623人评价,1989/日本/动画 奇幻 冒险
198,二十二,233641人评价,2015/中国大陆/纪录片
199,海边的曼彻斯特,383723人评价,2016/美国/剧情 家庭
200,房间,312300人评价,2015/爱尔兰 加拿大 英国 美国/剧情 家庭
201,虎口脱险,187583人评价,1966/法国 英国/喜剧 战争
202,人工智能,348447人评价,2001/美国 英国/剧情 科幻
203,九品芝麻官,461642人评价,1994/中国香港 中国大陆/剧情 喜剧 古装
204,2001太空漫游,229979人评价,1968/英国 美国/科幻 惊悚 冒险
205,可可西里,234355人评价,2004/中国大陆 中国香港/剧情 犯罪
206,罗生门,241889人评价,1950/日本/剧情 犯罪 悬疑
207,色，戒,551113人评价,2007/中国台湾 中国大陆 美国 中国香港/剧情 爱情 情色
208,终结者2：审判日,277160人评价,1991/美国 法国/动作 科幻
209,城市之光,104440人评价,1931/美国/喜剧 剧情 爱情
210,初恋这件小事,820565人评价,2010/泰国/剧情 喜剧 爱情
211,魂断蓝桥,220211人评价,1940/美国/剧情 爱情 战争
212,牯岭街少年杀人事件,205470人评价,1991/中国台湾/剧情 犯罪
213,遗愿清单,311011人评价,2007/美国/冒险 喜剧 剧情
214,大佛普拉斯,316417人评价,2017/中国台湾/剧情 喜剧
215,新龙门客栈,349736人评价,1992/中国香港 中国大陆/动作 爱情 武侠 古装
216,波西米亚狂想曲,456606人评价,2018/英国 美国/剧情 传记 同性 音乐
217,源代码,654775人评价,2011/美国 加拿大/科幻 悬疑 惊悚
218,青蛇,406761人评价,1993/中国香港 中国大陆/剧情 爱情 奇幻 古装
219,海洋,136895人评价,2009/法国 瑞士 西班牙 美国 阿联酋/纪录片
220,燃情岁月,232776人评价,1994/美国/剧情 爱情 战争 西部
221,无耻混蛋,379870人评价,2009/德国 美国/剧情 犯罪
222,疯狂的麦克斯4：狂暴之路,410626人评价,2015/澳大利亚 南非 美国/动作 科幻 冒险
223,血钻,287179人评价,2006/美国 德国 英国/剧情 惊悚 冒险
224,穿越时空的少女,316745人评价,2006/日本/剧情 爱情 科幻 动画
225,步履不停,207903人评价,2008/日本/剧情 家庭
226,谍影重重2,284239人评价,2004/美国 德国/动作 悬疑 惊悚
227,阿飞正传,394386人评价,1990/中国香港/犯罪 剧情 爱情
228,地球上的星星,166071人评价,2007/印度/剧情 儿童 家庭
229,彗星来的那一夜,409180人评价,2013/美国 英国/科幻 悬疑 惊悚
230,完美陌生人,436463人评价,2016/意大利/剧情 喜剧
231,战争之王,282163人评价,2005/美国 法国/剧情 犯罪
232,谍影重重,339637人评价,2002/美国 德国 捷克/动作 悬疑 惊悚
233,香水,451902人评价,2006/德国 法国 西班牙 美国/剧情 犯罪 奇幻
234,东京教父,136315人评价,2003/日本/剧情 喜剧 动画
235,东京物语,103594人评价,1953/日本/剧情 家庭
236,朗读者,389134人评价,2008/美国 德国/剧情 爱情
237,千钧一发,203360人评价,1997/美国/剧情 科幻 惊悚
238,再次出发之纽约遇见你,336941人评价,2013/美国/喜剧 爱情 音乐
239,驴得水,733610人评价,2016/中国大陆/剧情 喜剧
240,猜火车,355562人评价,1996/英国/剧情 犯罪
241,黑客帝国2：重装上阵,296277人评价,2003/美国 澳大利亚/动作 科幻
242,无间道2,321809人评价,2003/中国香港/动作 犯罪 剧情 惊悚
243,我爱你,126656人评价,2011/韩国/剧情 爱情
244,浪潮,219527人评价,2008/德国/剧情 惊悚
245,崖上的波妞,363831人评价,2008/日本/动画 奇幻 冒险
246,聚焦,226837人评价,2015/美国/剧情 传记
247,小萝莉的猴神大叔,395548人评价,2015/印度/剧情 喜剧 动作
248,追随,146638人评价,1998/英国/犯罪 悬疑 惊悚
249,黑鹰坠落,234031人评价,2001/美国 英国/动作 历史 战争
250,网络谜踪,420648人评价,2018/美国 俄罗斯/剧情 犯罪 悬疑 惊悚
